t	s(t)
50	108.51485148514851
100	142.76237623762376
150	171.85148514851485
200	199.3861386138614
250	224.85148514851485
300	246.55445544554456
350	267.84158415841586
400	288.76237623762376
450	308.4257425742574
500	328.4257425742574
550	347.0792079207921
600	363.51485148514854
650	380.26732673267327
700	396.55445544554453
750	412.7722772277228
800	427.990099009901
850	444.3267326732673
900	459.0495049504951
950	474.3267326732673
1000	489.1089108910891
1050	503.74257425742576
1100	517.4356435643564
1150	530.980198019802
1200	544.3168316831683
1250	558.2673267326733
1300	571.8118811881188
1350	583.7722772277227
1400	595.7623762376238
1450	608.1089108910891
1500	620.3267326732673
1550	633.1980198019802
1600	645.2871287128713
1650	656.4158415841584
1700	667.6732673267327
1750	678.9009900990098
1800	690.059405940594
1850	701.8118811881188
1900	711.980198019802
1950	723.019801980198
2000	733.4851485148515
2050	744.2772277227723
2100	755.4752475247525
2150	766.2772277227723
2200	776.3168316831683
2250	786.980198019802
2300	797.5445544554456
2350	807.6633663366337
2400	817.8613861386139
2450	827.2079207920792
2500	836.9306930693069
2550	846.2970297029703
2600	857.4950495049505
2650	866.6831683168317
2700	876.6435643564356
2750	886.1881188118812
2800	895.3366336633663
2850	904.5049504950495
2900	914.0693069306931
2950	923.3267326732673
3000	933.6039603960396
3050	942.6039603960396
3100	951.1386138613861
3150	959.7425742574258
3200	968.2574257425742
3250	977.3861386138614
3300	986.3762376237623
3350	995.2772277227723
3400	1004.5049504950495
3450	1012.8316831683169
3500	1021.1980198019802
3550	1029.7821782178219
3600	1038.1287128712872
3650	1046.990099009901
3700	1056.1584158415842
3750	1064.8415841584158
3800	1073.3267326732673
3850	1081.4059405940593
3900	1089.7425742574258
3950	1098.7326732673268
4000	1106.990099009901
4050	1116.5841584158416
4100	1125.8118811881188
4150	1134.4950495049504
4200	1142.3267326732673
4250	1150.7029702970297
4300	1158.039603960396
4350	1165.5445544554455
4400	1173.3465346534654
4450	1181.1089108910892
4500	1189.4059405940593
4550	1198.039603960396
4600	1205.4257425742574
4650	1213.1881188118812
4700	1220.6930693069307
4750	1228.009900990099
4800	1236.6138613861385
4850	1243.8316831683169
4900	1252.7920792079208
4950	1260.4158415841584
5000	1267.8415841584158
5050	1275.2772277227723
5100	1283.5742574257426
5150	1291.6732673267327
5200	1299.5544554455446
5250	1307.2574257425742
5300	1314.8118811881188
5350	1321.1287128712872
5400	1328.3267326732673
5450	1335.09900990099
5500	1341.3069306930693
5550	1349.1683168316831
5600	1356.3267326732673
5650	1363.6237623762377
5700	1370.7128712871288
5750	1377.920792079208
5800	1385.3267326732673
5850	1392.8712871287128
5900	1399.3564356435643
5950	1406.039603960396
6000	1413.2277227722773
6050	1420.2871287128712
6100	1426.9405940594058
6150	1434.029702970297
6200	1440.1980198019803
6250	1447.1683168316831
6300	1454.2772277227723
6350	1461.4158415841584
6400	1468.90099009901
6450	1476.0
6500	1482.5841584158416
6550	1489.8415841584158
6600	1496.5544554455446
6650	1502.851485148515
6700	1510.1683168316831
6750	1516.7029702970297
6800	1522.960396039604
6850	1529.6336633663366
6900	1535.7524752475247
6950	1542.3960396039604
7000	1549.09900990099
7050	1556.1287128712872
7100	1562.5049504950496
7150	1568.5346534653465
7200	1575.079207920792
7250	1581.6633663366338
7300	1588.1881188118812
7350	1595.009900990099
7400	1601.7029702970297
7450	1607.7623762376238
7500	1614.049504950495
7550	1619.920792079208
7600	1626.5247524752476
7650	1632.4752475247524
7700	1638.6138613861385
7750	1645.4950495049504
7800	1651.5643564356435
7850	1657.920792079208
7900	1664.6138613861385
7950	1670.990099009901
8000	1676.6930693069307
8050	1682.7920792079208
8100	1689.079207920792
8150	1694.6633663366338
8200	1700.881188118812
8250	1706.7029702970297
8300	1712.5049504950496
8350	1718.6237623762377
8400	1725.1881188118812
8450	1731.4752475247524
8500	1738.009900990099
8550	1744.029702970297
8600	1750.5445544554455
8650	1756.069306930693
8700	1761.7227722772277
8750	1768.1782178217823
8800	1773.8217821782177
8850	1779.5742574257426
8900	1785.4752475247524
8950	1791.4356435643565
9000	1797.4554455445545
9050	1803.1584158415842
9100	1808.8910891089108
9150	1815.09900990099
9200	1820.6732673267327
9250	1826.4752475247524
9300	1832.2574257425742
9350	1838.3168316831684
9400	1843.4356435643565
9450	1849.5940594059407
9500	1855.118811881188
9550	1860.3861386138615
9600	1865.990099009901
9650	1871.6534653465346
9700	1877.3465346534654
9750	1883.2376237623762
9800	1888.9405940594058
9850	1894.3960396039604
9900	1900.5445544554455
9950	1906.5148514851485
