t	s(t)
1000	40.72
1050	42.22
1100	43.41
1150	44.49
1200	45.51
1250	47.01
1300	48.09
1350	49.23
1400	50.33
1450	51.28
1500	52.44
1550	53.51
1600	54.44
1650	55.48
1700	56.48
1750	57.35
1800	58.27
1850	59.28
1900	60.42
1950	61.49
2000	62.45
2050	63.38
2100	64.17
2150	65.25
2200	66.12
2250	66.94
2300	67.74
2350	68.61
2400	69.42
2450	70.29
2500	71.04
2550	71.81
2600	72.73
2650	73.42
2700	74.16
2750	74.9
2800	75.7
2850	76.44
2900	77.31
2950	78.2
3000	79.05
3050	79.81
3100	80.62
3150	81.35
3200	82.22
3250	82.89
3300	83.6
3350	84.25
3400	85.12
3450	85.93
3500	86.8
3550	87.49
3600	88.36
3650	89.29
3700	90.15
3750	90.93
3800	91.61
3850	92.61
3900	93.45
3950	94.3
4000	95.04
4050	95.73
4100	96.51
4150	97.2
4200	97.83
4250	98.63
4300	99.15
4350	99.96
4400	100.87
4450	101.53
4500	102.16
4550	102.86
4600	103.61
4650	104.41
4700	105.2
4750	105.81
4800	106.68
4850	107.24
4900	108.04
4950	108.72
5000	109.43
5050	110.05
5100	110.65
5150	111.25
5200	111.99
5250	112.61
5300	113.24
5350	113.8
5400	114.39
5450	115.09
5500	115.62
5550	116.36
5600	116.86
5650	117.47
5700	118.03
5750	118.69
5800	119.31
5850	120.3
5900	121.14
5950	121.69
6000	122.5
6050	123.08
6100	123.78
6150	124.36
6200	124.8
6250	125.44
6300	126.01
6350	126.67
6400	127.27
6450	127.92
6500	128.54
6550	129.02
6600	129.55
6650	130.2
6700	130.67
6750	131.39
6800	132.03
6850	132.54
6900	133.04
6950	133.73
7000	134.23
7050	134.8
7100	135.31
7150	135.79
7200	136.27
7250	136.8
7300	137.31
7350	137.9
7400	138.35
7450	138.89
7500	139.29
7550	139.82
7600	140.26
7650	140.72
7700	141.22
7750	141.84
7800	142.19
7850	142.91
7900	143.43
7950	143.94
8000	144.42
8050	144.94
8100	145.42
8150	146.11
8200	146.63
8250	147.23
8300	147.79
8350	148.4
8400	149.0
8450	149.64
8500	150.23
8550	150.67
8600	151.29
8650	151.81
8700	152.35
8750	152.88
8800	153.37
8850	153.94
8900	154.39
8950	154.95
9000	155.41
9050	155.97
9100	156.48
9150	157.0
9200	157.55
9250	157.99
9300	158.52
9350	159.08
9400	159.5
9450	160.05
9500	160.45
9550	160.93
9600	161.36
9650	161.88
9700	162.44
9750	162.97
9800	163.37
9850	163.92
9900	164.47
9950	164.94
10000	165.42
10050	165.9
10100	166.33
10150	166.84
10200	167.17
10250	167.7
10300	168.12
10350	168.74
10400	169.33
10450	169.9
10500	170.37
10550	170.86
10600	171.18
10650	171.62
10700	172.07
10750	172.61
10800	173.24
10850	173.74
10900	174.23
10950	174.64
11000	175.1
11050	175.52
11100	175.87
11150	176.29
11200	176.83
11250	177.24
11300	177.77
11350	178.26
11400	178.78
11450	179.24
11500	179.65
11550	180.06
11600	180.52
11650	181.0
11700	181.48
11750	181.99
11800	182.55
11850	182.92
11900	183.35
11950	183.92
12000	184.34
12050	184.86
12100	185.33
12150	185.77
12200	186.21
12250	186.58
12300	186.98
12350	187.51
12400	187.93
12450	188.47
12500	188.77
12550	189.25
12600	189.6
12650	190.09
12700	190.54
12750	191.0
12800	191.37
12850	191.82
12900	192.1
12950	192.53
13000	192.97
13050	193.5
13100	194.0
13150	194.5
13200	195.06
13250	195.37
13300	195.75
13350	196.16
13400	196.45
13450	196.86
13500	197.21
13550	197.63
13600	198.09
13650	198.51
13700	198.9
13750	199.36
13800	199.62
13850	200.07
13900	200.63
13950	200.91
14000	201.31
14050	201.62
14100	202.07
14150	202.52
14200	202.87
14250	203.24
14300	203.6
14350	203.89
14400	204.3
14450	204.53
14500	205.0
14550	205.43
14600	205.81
14650	206.18
14700	206.5
14750	207.03
14800	207.42
14850	207.85
14900	208.2
14950	208.64
15000	209.06
15050	209.32
15100	209.72
15150	210.17
15200	210.54
15250	210.96
15300	211.3
15350	211.79
15400	212.25
15450	212.59
15500	213.03
15550	213.43
15600	213.79
15650	214.0
15700	214.39
15750	214.85
15800	215.19
15850	215.41
15900	215.8
15950	216.29
16000	216.73
16050	217.25
16100	217.54
16150	218.09
16200	218.55
16250	218.97
16300	219.39
16350	219.76
16400	220.25
16450	220.78
16500	221.28
16550	221.71
16600	222.28
16650	222.58
16700	222.93
16750	223.34
16800	223.62
16850	224.06
16900	224.47
16950	224.8
17000	225.24
17050	225.61
17100	226.13
17150	226.63
17200	226.95
17250	227.37
17300	227.73
17350	228.24
17400	228.64
17450	229.03
17500	229.33
17550	229.74
17600	230.08
17650	230.41
17700	230.78
17750	231.12
17800	231.53
17850	231.84
17900	232.17
17950	232.52
18000	232.99
18050	233.34
18100	233.76
18150	234.24
18200	234.6
18250	234.89
18300	235.34
18350	235.69
18400	236.27
18450	236.63
18500	236.96
18550	237.38
18600	237.74
18650	238.14
18700	238.57
18750	238.94
18800	239.22
18850	239.69
18900	239.93
18950	240.36
19000	240.83
19050	241.3
19100	241.71
19150	242.13
19200	242.59
19250	242.92
19300	243.24
19350	243.64
19400	244.06
19450	244.48
19500	244.89
19550	245.17
19600	245.47
19650	245.92
19700	246.24
19750	246.54
19800	246.97
19850	247.36
19900	247.73
19950	248.15
20000	248.43
20050	248.77
20100	249.04
20150	249.38
20200	249.66
20250	249.94
20300	250.37
20350	250.73
20400	251.05
20450	251.51
20500	251.88
20550	252.3
20600	252.66
20650	252.93
20700	253.25
20750	253.55
20800	253.89
20850	254.31
20900	254.6
20950	254.91
21000	255.23
21050	255.49
21100	255.85
21150	256.19
21200	256.6
21250	257.01
21300	257.41
21350	257.84
21400	258.25
21450	258.71
21500	258.95
21550	259.21
21600	259.56
21650	259.86
21700	260.23
21750	260.51
21800	260.78
21850	261.13
21900	261.43
21950	261.83
22000	262.1
22050	262.42
22100	262.9
22150	263.29
22200	263.64
22250	264.05
22300	264.45
22350	264.77
22400	265.11
22450	265.49
22500	265.85
22550	266.21
22600	266.47
22650	266.84
22700	267.14
22750	267.34
22800	267.65
22850	268.0
22900	268.35
22950	268.75
23000	268.98
23050	269.37
23100	269.7
23150	269.96
23200	270.22
23250	270.5
23300	270.83
23350	271.1
23400	271.41
23450	271.67
23500	272.0
23550	272.26
23600	272.62
23650	272.92
23700	273.36
23750	273.59
23800	273.82
23850	274.15
23900	274.44
23950	274.64
24000	274.98
24050	275.26
24100	275.55
24150	275.93
24200	276.33
24250	276.61
24300	276.91
24350	277.33
24400	277.85
24450	278.26
24500	278.63
24550	278.89
24600	279.17
24650	279.42
24700	279.81
24750	280.15
24800	280.52
24850	280.87
24900	281.22
24950	281.69
