t	b	lnt	lnb	linreg	 k=[-3.10108625], b=12.054777417935028
0	2699	0	7.900636613	12.0547774179	
1	8934	0.6931471806	9.0976195019	9.9052682303	
2	12548	1.0986122887	9.4373165693	8.6478859605	
3	9875	1.3862943611	9.1977615898	7.7557590426	
4	6401	1.6094379124	8.7642095071	7.0637716449	
5	3865	1.7917594692	8.259716961	6.4983767729	
6	2490	1.9459101491	7.8200379895	6.0203422199	
7	1576	2.0794415417	7.3626452704	5.6062498549	
8	963	2.1972245773	6.8700534118	5.2409945031	
9	532	2.302585093	6.2766434893	4.9142624572	
10	281	2.3978952728	5.6383546693	4.6186973696	
11	161	2.4849066498	5.081404365	4.3488675852	
12	81	2.5649493575	4.3944491547	4.1006482454	
13	44	2.6390573296	3.7841896339	3.8708330323	
14	26	2.7080502011	3.258096538	3.6568801875	
15	9	2.7725887222	2.1972245773	3.4567406673	
16	5	2.8332133441	1.6094379124	3.2687384864	
17	3	2.8903717579	1.0986122887	3.0914853154	
18	5	2.9444389792	1.6094379124	2.9238181992	
19	1	3.0445224377	0	2.6134507625	
50	-999	3.9120230054	-999	-0.0767433339	
