t	s(t)
1000	50.06
1050	51.44
1100	52.22
1150	53.44
1200	54.74
1250	55.64
1300	57.12
1350	58.72
1400	60.2
1450	61.8
1500	63.42
1550	64.98
1600	66.4
1650	67.92
1700	69.04
1750	70.62
1800	71.46
1850	72.56
1900	73.42
1950	74.66
2000	75.5
2050	76.82
2100	78.34
2150	79.36
2200	80.26
2250	81.26
2300	82.06
2350	83.34
2400	84.28
2450	85.12
2500	86.1
2550	87.08
2600	88.12
2650	88.88
2700	89.54
2750	90.56
2800	91.62
2850	92.46
2900	93.58
2950	94.6
3000	95.54
3050	96.36
3100	97.22
3150	98.28
3200	99.44
3250	100.66
3300	101.18
3350	101.92
3400	102.66
3450	103.32
3500	104.12
3550	104.78
3600	105.7
3650	106.46
3700	107.3
3750	108.36
3800	109.1
3850	109.82
3900	110.82
3950	111.44
4000	112.24
4050	113.24
4100	113.86
4150	114.82
4200	115.52
4250	116.12
4300	116.56
4350	117.42
4400	118.48
4450	119.18
4500	120.08
4550	120.78
4600	121.56
4650	121.98
4700	122.7
4750	123.34
4800	124.0
4850	124.66
4900	125.8
4950	126.36
5000	126.9
5050	127.52
5100	128.1
5150	128.7
5200	129.5
5250	130.28
5300	131.14
5350	131.78
5400	132.3
5450	132.94
5500	133.7
5550	134.46
5600	135.24
5650	135.9
5700	136.8
5750	137.66
5800	138.22
5850	139.04
5900	139.76
5950	140.48
6000	141.4
6050	141.76
6100	142.28
6150	143.1
6200	143.54
6250	144.22
6300	144.66
6350	145.16
6400	146.06
6450	146.52
6500	147.12
6550	147.86
6600	148.62
6650	149.48
6700	150.1
6750	150.7
6800	151.6
6850	152.3
6900	153.04
6950	153.52
7000	154.08
7050	154.46
7100	155.12
7150	155.92
7200	156.64
7250	157.12
7300	157.6
7350	158.24
7400	158.84
7450	159.54
7500	160.22
7550	160.78
7600	161.66
7650	162.46
7700	162.92
7750	163.4
7800	163.76
7850	164.44
7900	165.1
7950	165.52
8000	166.14
8050	167.12
8100	167.54
8150	168.2
8200	168.58
8250	169.18
8300	169.74
8350	170.32
8400	170.92
8450	171.52
8500	172.1
8550	172.56
8600	173.16
8650	173.8
8700	174.5
8750	175.22
8800	175.72
8850	176.12
8900	176.76
8950	177.24
9000	177.7
9050	178.26
9100	178.78
9150	179.44
9200	180.18
9250	180.82
9300	181.62
9350	182.02
9400	182.84
9450	183.58
9500	184.12
9550	184.52
9600	185.2
9650	185.86
9700	186.48
9750	186.96
9800	187.38
9850	187.92
9900	188.24
9950	188.72
10000	189.52
10050	190.06
10100	190.7
10150	191.14
10200	191.86
10250	192.2
10300	193.02
10350	193.26
10400	193.86
10450	194.68
10500	195.14
10550	195.84
10600	196.54
10650	197.04
10700	197.36
10750	198.04
10800	198.66
10850	199.24
10900	200.12
10950	200.78
11000	201.36
11050	201.74
11100	202.2
11150	202.66
11200	203.2
11250	203.88
11300	204.66
