t	s(t)
50	57.49
100	92.45
150	122.24
200	148.54
250	171.57
300	193.28
350	213.25
400	232.1
450	250.43
500	267.75
550	284.48
600	301.4
650	316.62
700	331.9
750	345.85
800	359.17
850	373.47
900	387.27
950	400.6
1000	413.43
1050	426.93
1100	439.58
1150	452.15
1200	463.86
1250	475.9
1300	487.08
1350	498.64
1400	510.04
1450	520.98
1500	532.18
1550	542.59
1600	553.33
1650	564.05
1700	574.31
1750	584.36
1800	594.35
1850	604.8
1900	615.16
1950	625.65
2000	635.27
2050	644.81
2100	654.37
2150	663.78
2200	673.45
2250	682.21
2300	691.31
2350	700.82
2400	710.01
2450	718.87
2500	727.42
2550	736.89
2600	746.08
2650	754.51
2700	763.09
2750	771.69
2800	780.32
2850	788.7
2900	797.66
2950	805.66
3000	814.3
3050	822.31
3100	830.45
3150	838.05
3200	846.27
3250	854.15
3300	862.59
3350	870.22
3400	878.03
3450	885.74
3500	892.84
3550	900.64
3600	908.39
3650	915.98
3700	923.38
3750	931.33
3800	939.27
3850	947.1
3900	954.67
3950	961.77
4000	968.7
4050	975.98
4100	983.22
4150	990.76
4200	997.3
4250	1004.3
4300	1011.5
4350	1018.62
4400	1025.28
4450	1032.28
4500	1039.22
4550	1045.96
4600	1052.78
4650	1059.44
4700	1065.92
4750	1073.13
4800	1079.65
4850	1086.23
4900	1093.29
4950	1099.62
5000	1106.33
5050	1113.28
5100	1120.16
5150	1126.66
5200	1132.93
5250	1139.39
5300	1145.69
5350	1151.6
5400	1158.31
5450	1164.52
5500	1171.21
5550	1177.59
5600	1184.12
5650	1190.45
5700	1196.44
5750	1202.66
5800	1209.03
5850	1214.77
5900	1220.73
5950	1226.44
6000	1231.68
6050	1237.74
6100	1244.22
6150	1250.38
6200	1256.41
6250	1262.13
6300	1268.0
6350	1274.04
6400	1279.59
6450	1285.59
6500	1291.58
6550	1297.35
6600	1303.3
6650	1309.09
6700	1314.67
6750	1320.79
6800	1326.34
6850	1332.07
6900	1337.58
6950	1343.62
7000	1349.64
7050	1355.31
7100	1361.07
7150	1367.03
7200	1372.39
7250	1378.13
7300	1384.09
7350	1389.95
7400	1395.58
7450	1401.35
7500	1406.65
7550	1412.39
7600	1418.33
7650	1423.9
7700	1429.52
7750	1435.18
7800	1440.77
7850	1445.95
7900	1451.4
7950	1457.21
8000	1462.89
8050	1468.36
8100	1473.98
8150	1479.1
8200	1484.42
8250	1489.48
8300	1495.08
8350	1500.35
8400	1505.43
8450	1510.79
8500	1516.33
8550	1521.63
8600	1526.89
8650	1531.97
8700	1537.3
8750	1542.58
8800	1548.09
8850	1553.34
8900	1559.11
8950	1564.48
9000	1569.79
9050	1575.11
9100	1580.79
9150	1586.26
9200	1591.44
9250	1597.13
9300	1601.76
9350	1606.73
9400	1611.62
9450	1616.75
9500	1621.86
9550	1626.91
9600	1631.98
9650	1637.06
9700	1641.67
9750	1646.7
9800	1652.04
9850	1657.29
9900	1662.36
9950	1667.71
10000	1672.43
10050	1677.48
10100	1682.33
10150	1687.56
10200	1692.17
10250	1697.33
10300	1701.85
10350	1707.11
10400	1712.43
10450	1717.72
10500	1722.41
10550	1726.78
10600	1731.42
10650	1736.33
10700	1741.0
