t	s(t)
23800	678.63
23850	679.3
23900	680.18
23950	680.99
24000	681.83
24050	682.78
24100	683.39
24150	684.21
24200	685.02
24250	685.82
24300	686.55
24350	687.34
24400	688.08
24450	688.89
24500	689.71
24550	690.5
24600	691.27
24650	691.99
24700	692.69
24750	693.41
24800	694.3
24850	695.0
24900	695.77
24950	696.51
