t	b	lnt	lnb	linreg	 k=[-2.70841548], b=11.677395409142711
0	2304	0	7.7424020218	11.6773954091	
1	7658	0.6931471806	8.943506132	9.8000648549	
2	8422	1.0986122887	9.0386026087	8.7018968793	
3	5837	1.3862943611	8.6719722452	7.9227343007	
4	3773	1.6094379124	8.23562572	7.3183688519	
5	2585	1.7917594692	7.8574807869	6.8245663251	
6	1765	1.9459101491	7.4759059694	6.4070622375	
7	1327	2.0794415417	7.1906760343	6.0454037465	
8	979	2.1972245773	6.8865316425	5.7263983494	
9	760	2.302585093	6.6333184333	5.4410382977	
10	540	2.3978952728	6.2915691396	5.1828987313	
11	442	2.4849066498	6.0913098821	4.9472357709	
12	320	2.5649493575	5.7683209958	4.7304468623	
13	276	2.6390573296	5.6204008657	4.5297316833	
14	200	2.7080502011	5.2983173665	4.3428703221	
15	138	2.7725887222	4.9272536852	4.1680731923	
16	98	2.8332133441	4.5849674787	4.0038765281	
17	91	2.8903717579	4.5108595065	3.8490677952	
18	67	2.9444389792	4.2046926194	3.7026312961	
19	40	2.9957322736	3.6888794541	3.5637077435	
20	26	3.0445224377	3.258096538	3.4315637076	
21	17	3.0910424534	2.8332133441	3.3055681771	
22	10	3.1354942159	2.302585093	3.1851743352	
23	11	3.1780538303	2.3978952728	3.0699052167	
24	7	3.2188758249	1.9459101491	2.9593422947	
25	1	3.258096538	0	2.8531163081	
26	1	3.295836866	0	2.7508998195	
27	2	3.3322045102	0.6931471806	2.6524011291	
80	-999	4.3820266347	-999	-0.1085246633	
