t	a(t)
50	15.560894059405943
100	16.680109900990097
150	17.559795049504956
200	18.134010891089105
250	18.750175247524755
300	19.460137623762375
350	19.874651485148515
400	20.21637821782178
450	20.669411881188122
500	20.7325297029703
550	21.00448415841584
600	21.212819801980203
650	21.424962376237623
700	21.542494059405946
750	21.75369108910891
800	21.950963366336634
850	22.08908415841584
900	22.26286237623762
950	22.434200990099008
1000	22.479743564356443
1050	22.614749504950495
1100	22.87396732673266
1150	23.02933465346534
1200	23.13277722772278
1250	23.122236633663363
1300	23.14962178217821
1350	23.35551089108911
1400	23.49338613861385
1450	23.533363366336637
1500	23.678588118811884
1550	23.7169594059406
1600	23.773516831683168
1650	23.89065544554456
1700	23.957786138613862
1750	24.087967326732674
1800	24.176669306930698
1850	24.247520792079207
1900	24.385343564356443
1950	24.433270297029715
2000	24.53577029702972
2050	24.638474257425745
2100	24.65904455445544
2150	24.714556435643555
2200	24.76603861386138
2250	24.829117821782184
2300	24.860781188118803
2350	24.91613465346535
2400	24.963302970297025
2450	25.016186138613854
2500	25.071495049504943
2550	25.13341188118812
2600	25.071235643564357
2650	25.15887722772277
2700	25.18784059405941
2750	25.242842574257427
2800	25.330168316831696
2850	25.35536831683169
2900	25.398085148514852
2950	25.449467326732687
3000	25.4382
3050	25.51853366336634
3100	25.558404950495056
3150	25.60990495049504
3200	25.662610891089113
3250	25.67903168316832
3300	25.73000792079207
3350	25.711514851485152
3400	25.76416930693069
3450	25.81288811881189
3500	25.891881188118802
3550	25.93861881188118
3600	25.995933663366337
3650	26.056697029702974
3700	26.07332475247525
3750	26.065382178217824
3800	26.074409900990105
3850	26.115922772277234
3900	26.179096039603973
3950	26.178921782178218
4000	26.22272178217822
4050	26.190754455445536
4100	26.229200990099002
4150	26.249871287128702
4200	26.278122772277232
4250	26.36633168316832
4300	26.423472277227724
4350	26.473986138613864
4400	26.51443069306933
4450	26.530884158415837
4500	26.538695049504962
4550	26.52144257425742
4600	26.560059405940592
4650	26.55476237623761
4700	26.60562376237624
4750	26.645726732673268
4800	26.62698316831684
4850	26.6580900990099
4900	26.6060891089109
4950	26.629143564356436
5000	26.676416831683166
5050	26.712162376237607
5100	26.717348514851487
5150	26.68491881188119
5200	26.722681188118802
5250	26.76566237623761
5300	26.806477227722755
5350	26.873887128712873
5400	26.91744752475247
5450	26.970982178217817
5500	27.012679207920794
5550	26.98101089108911
5600	26.970641584158418
5650	27.01296138613863
5700	27.05681980198019
5750	27.07766435643564
5800	27.071504950495047
5850	27.105432673267334
5900	27.159079207920787
5950	27.1975495049505
6000	27.224394059405935
6050	27.217418811881192
6100	27.22841782178218
6150	27.235898019801983
6200	27.24518217821782
6250	27.285779207920797
6300	27.312968316831675
6350	27.314393069306924
6400	27.31782178217822
6450	27.330039603960387
6500	27.358709900990092
6550	27.347792079207917
6600	27.394462376237627
6650	27.443732673267327
6700	27.467326732673275
6750	27.535759405940606
6800	27.582309900990097
6850	27.60858811881189
6900	27.64072673267327
6950	27.659263366336624
7000	27.656872277227713
7050	27.710119801980216
7100	27.756194059405935
7150	27.77654455445544
7200	27.812121782178217
7250	27.795489108910886
7300	27.859033663366336
7350	27.906112871287124
7400	27.931909900990096
7450	27.958139603960394
7500	27.98645346534654
7550	28.04619405940593
7600	28.05547029702971
7650	28.088648514851485
7700	28.097883168316827
7750	28.11276237623761
7800	28.134269306930694
7850	28.145995049504947
7900	28.174485148514858
7950	28.220026732673265
8000	28.254572277227716
8050	28.29188712871288
8100	28.289900990099017
8150	28.32721584158415
8200	28.36682475247525
8250	28.358098019801997
8300	28.403795049504957
8350	28.43971188118812
8400	28.463674257425726
8450	28.475682178217824
8500	28.508753465346537
8550	28.527706930693075
8600	28.482161386138614
8650	28.516188118811886
8700	28.54961584158415
8750	28.568493069306932
8800	28.598904950495047
8850	28.59608514851485
8900	28.58809504950497
8950	28.60447128712871
9000	28.60253663366337
9050	28.605124752475252
9100	28.59014455445544
9150	28.578376237623754
9200	28.60425742574257
9250	28.608317821782173
9300	28.631654455445542
9350	28.661669306930698
9400	28.67238316831682
9450	28.684799999999996
9500	28.72310297029703
9550	28.746855445544554
9600	28.776597029702973
9650	28.774565346534658
9700	28.80314752475248
9750	28.7926683168317
9800	28.799112871287132
9850	28.829705940594064
9900	28.83900594059407
9950	28.853389108910893
