t	b(t)
100	3.561614
150	3.6575239999999996
200	3.6343099999999993
250	3.789254
300	3.488037999999999
350	3.4124319999999995
400	3.371650000000001
450	3.347581999999999
500	3.30707
550	3.349551999999999
600	3.234302
650	3.215872
700	3.235483999999999
750	3.1637540000000013
800	3.0064260000000003
850	2.74462
900	2.7023860000000006
950	2.659504
1000	2.621692
1050	2.4784740000000007
1100	2.4839059999999997
1150	2.49017
1200	2.4771619999999994
1250	2.42778
1300	2.4588639999999997
1350	2.430956
1400	2.4430259999999997
1450	2.381136
1500	2.313828000000001
1550	2.2468699999999995
1600	2.231038
1650	2.2264180000000007
1700	2.2198160000000002
1750	2.173998
1800	2.173258
1850	2.1636859999999998
1900	2.15598
1950	2.1231519999999997
2000	2.0911280000000003
2050	2.061960000000001
2100	2.00753
2150	1.9716999999999998
2200	1.9760140000000004
2250	1.9790480000000001
2300	1.961368
2350	1.9039280000000005
2400	1.89469
2450	1.8808720000000005
2500	1.8853240000000004
2550	1.8426899999999993
2600	1.7720840000000002
2650	1.7757439999999998
2700	1.7563239999999996
2750	1.76753
2800	1.7483840000000004
2850	1.7554279999999998
2900	1.7489359999999994
2950	1.7518079999999996
3000	1.7582200000000001
3050	1.7446040000000003
3100	1.7504399999999996
3150	1.756508
3200	1.7628500000000003
3250	1.7583059999999997
3300	1.7644540000000006
3350	1.7757659999999995
3400	1.7747939999999998
3450	1.7721619999999998
3500	1.7117419999999997
3550	1.706796
3600	1.7129040000000004
3650	1.6545699999999997
3700	1.6629859999999994
3750	1.6419620000000001
3800	1.6314719999999994
3850	1.625734
3900	1.6093699999999995
3950	1.6044019999999997
4000	1.6087479999999998
4050	1.575634
4100	1.5732219999999992
4150	1.5771060000000003
4200	1.57126
4250	1.563814
4300	1.5653719999999993
4350	1.5605020000000003
4400	1.5512539999999995
4450	1.5183779999999998
4500	1.4966920000000001
4550	1.4960639999999998
4600	1.5014219999999998
4650	1.506028
4700	1.4542240000000004
4750	1.4589499999999997
4800	1.44221
4850	1.4421199999999996
4900	1.440262
4950	1.4339659999999999
5000	1.4133199999999997
5050	1.4106679999999994
5100	1.4144799999999997
5150	1.4115660000000003
5200	1.416316
5250	1.3871500000000003
5300	1.3935499999999996
5350	1.396114
5400	1.3888039999999997
5450	1.3566280000000004
5500	1.3626119999999997
5550	1.3645740000000002
5600	1.3678239999999997
5650	1.3668640000000003
5700	1.3383019999999999
5750	1.3270819999999999
5800	1.3292379999999997
5850	1.3321340000000002
5900	1.334774
5950	1.3216059999999998
6000	1.3229140000000001
6050	1.3121939999999994
6100	1.30122
6150	1.2993200000000003
6200	1.303082
6250	1.3055260000000002
