t	b	lnt	lnb	linreg	 k=[-2.48639488], b=14.502839668629662
82	121	4.4188406078	4.7957905456	3.5158569869	
83	79	4.4308167988	4.3694478525	3.4860794468	
84	43	4.4426512565	3.7612001157	3.4566543118	
85	83	4.4543472963	4.4188406078	3.4275733384	
86	65	4.4659081187	4.1743872699	3.3988285687	
87	48	4.4773368145	3.8712010109	3.3704123179	
88	54	4.4886363697	3.9889840466	3.3423171615	
89	64	4.4998096703	4.1588830834	3.3145359241	
90	55	4.5108595065	4.0073331852	3.2870616679	
91	115	4.521788577	4.7449321284	3.2598876829	
92	128	4.5325994932	4.8520302639	3.2330074764	
93	71	4.5432947823	4.262679877	3.2064147642	
94	49	4.5538768916	3.8918202981	3.1801034617	
95	38	4.5643481915	3.6375861597	3.1540676753	
96	30	4.5747109785	3.4011973817	3.1283016946	
97	22	4.5849674787	3.0910424534	3.1027999851	
98	11	4.5951198501	2.3978952728	3.0775571806	
99	11	4.605170186	2.3978952728	3.0525680769	
100	9	4.6151205168	2.1972245773	3.0278276252	
101	2	4.6249728133	0.6931471806	3.0033309257	
102	11	4.6347289882	2.3978952728	2.9790732223	
103	39	4.6443908991	3.6635616461	2.9550498964	
104	68	4.6539603502	4.2195077052	2.9312564624	
105	35	4.6634390941	3.5553480615	2.9076885619	
106	20	4.6728288345	2.9957322736	2.8843419595	
107	18	4.6821312271	2.8903717579	2.861212538	
108	12	4.6913478822	2.4849066498	2.8382962939	
109	52	4.7004803658	3.9512437186	2.8155893335	
110	146	4.7095302013	4.9836066217	2.7930878687	
111	104	4.7184988713	4.6443908991	2.7707882136	
112	61	4.7273878187	4.1108738642	2.7486867802	
113	36	4.7361984484	3.5835189385	2.7267800756	
114	24	4.7449321284	3.1780538303	2.7050646984	
115	23	4.7535901911	3.1354942159	2.6835373355	
116	17	4.7621739348	2.8332133441	2.6621947591	
117	16	4.7706846245	2.7725887222	2.6410338238	
118	5	4.7791234931	1.6094379124	2.620051464	
119	7	4.7874917428	1.9459101491	2.5992446908	
120	15	4.7957905456	2.7080502011	2.57861059	
121	6	4.8040210447	1.7917594692	2.558146319	
122	6	4.8121843554	1.7917594692	2.5378491052	
123	4	4.8202815656	1.3862943611	2.5177162431	
124	90	4.8283137373	4.4998096703	2.4977450925	
125	62	4.836281907	4.127134385	2.4779330762	
126	44	4.8441870865	3.7841896339	2.4582776784	
127	24	4.8520302639	3.1780538303	2.438776442	
128	35	4.8598124044	3.5553480615	2.4194269679	
129	98	4.8675344505	4.5849674787	2.400226912	
130	54	4.8751973232	3.9889840466	2.3811739844	
131	39	4.8828019226	3.6635616461	2.3622659474	
132	19	4.8903491282	2.9444389792	2.3435006139	
133	19	4.8978398	2.9444389792	2.324875846	
134	24	4.9052747784	3.1780538303	2.3063895535	
135	13	4.9126548857	2.5649493575	2.2880396925	
136	12	4.9199809258	2.4849066498	2.2698242639	
137	6	4.9272536852	1.7917594692	2.2517413123	
138	50	4.9344739331	3.9120230054	2.2337889247	
139	108	4.9416424226	4.6821312271	2.2159652291	
140	53	4.9487598904	3.9702919136	2.1982683937	
141	38	4.9558270576	3.6375861597	2.1806966252	
142	17	4.9628446303	2.8332133441	2.1632481685	
143	16	4.9698132996	2.7725887222	2.1459213047	
144	15	4.9767337424	2.7080502011	2.128714351	
145	15	4.9836066217	2.7080502011	2.1116256591	
146	9	4.9904325868	2.1972245773	2.0946536145	
147	6	4.9972122738	1.7917594692	2.0777966355	
148	4	5.0039463059	1.3862943611	2.0610531723	
149	6	5.0106352941	1.7917594692	2.0444217064	
150	5	5.0172798368	1.6094379124	2.0279007494	
151	4	5.0238805208	1.3862943611	2.0114888424	
152	4	5.0304379214	1.3862943611	1.9951845552	
153	9	5.0369526024	2.1972245773	1.9789864856	
154	4	5.0434251169	1.3862943611	1.9628932587	
155	1	5.0498560072	0	1.9469035258	
156	2	5.0562458053	0.6931471806	1.9310159645	
157	6	5.062595033	1.7917594692	1.9152292773	
158	5	5.0689042022	1.6094379124	1.8995421913	
159	3	5.0751738152	1.0986122887	1.8839534576	
160	1	5.081404365	0	1.8684618506	
161	1	5.0875963352	0	1.8530661674	
162	1	5.0937502008	0	1.8377652275	
163	2	5.1059454739	0.6931471806	1.8074429629	
165	2	5.1119877884	0.6931471806	1.7924193832	
166	2	5.1179938124	0.6931471806	1.7774860357	
167	2	5.1239639794	0.6931471806	1.762641843	
168	1	5.1298987149	0	1.747885747	
169	1	5.1357984371	0	1.733216708	
170	1	5.1532915945	0	1.6897218109	
173	1	5.1590552992	0	1.6753909649	
174	2	5.1647859739	0.6931471806	1.6611422447	
175	1	5.170483995	0	1.6469747141	
176	1	5.1929568509	0	1.5910983203	
180	1	5.2149357576	0	1.5364500791	
184	1	5.2470240722	0	1.4566658579	
190	1	5.257495372	0	1.4306300715	
192	1	5.2626901889	0	1.4177137054	
193	1	5.2983173665	0	1.3291304731	
200	1	5.3181199938	0	1.2798933219	
204	1	5.3230099791	0	1.2677348875	
205	1	5.3278761688	0	1.2556356185	
206	1	5.3471075307	0	1.2078188586	
210	1	5.3565862747	0	1.1842509581	
212	2	5.3844950628	0.6931471806	1.1148586901	
218	2	5.3890717298	0.6931471806	1.1034792886	
219	1	5.4161004022	0	1.0362753358	
400	-999	5.9914645471	-999	-0.3943071076	
