t	a(t)
50	11.353763999999996
100	13.122975000000004
150	14.411343000000006
200	15.344254999999999
250	16.063613999999987
300	16.716533000000002
350	17.172273000000008
400	17.50600599999999
450	17.823576000000006
500	18.016666000000008
550	18.44137499999999
600	18.716868999999996
650	18.937391000000005
700	18.956096999999996
750	19.155859000000007
800	19.30450199999999
850	19.419242999999998
900	19.560889000000003
950	19.774808000000004
1000	19.932552000000005
1050	20.085002999999993
1100	20.181337000000006
1150	20.322907000000004
1200	20.496018999999986
1250	20.612395999999993
1300	20.721182999999996
1350	20.788126000000005
1400	20.844958000000002
1450	20.944877000000005
1500	21.01601399999999
1550	21.106695999999996
1600	21.237434000000004
1650	21.280817
1700	21.342470000000006
1750	21.409183000000002
1800	21.50171
1850	21.52675400000001
1900	21.634964999999994
1950	21.693740999999992
2000	21.80136
2050	21.868595
2100	21.938467999999997
2150	22.010298999999996
2200	22.03568
2250	22.06817000000001
2300	22.128501000000007
2350	22.220596
2400	22.302850000000007
2450	22.346973999999992
2500	22.423284
2550	22.52537299999999
2600	22.601005
2650	22.620583
2700	22.684713999999996
2750	22.755698999999996
2800	22.7562
2850	22.774354999999996
2900	22.80445699999999
2950	22.881213000000006
3000	22.950108999999998
3050	22.983168999999993
3100	23.05003599999999
3150	23.091709000000016
3200	23.135551
3250	23.15741100000001
3300	23.172416000000027
3350	23.203300000000002
3400	23.194640999999997
3450	23.240684
3500	23.2789
3550	23.328907000000005
3600	23.351417000000012
3650	23.394282999999987
3700	23.447268999999995
3750	23.476433999999994
3800	23.482916000000003
3850	23.522622000000005
3900	23.55894499999999
3950	23.584261000000005
4000	23.626430999999997
4050	23.66112100000001
4100	23.696199
4150	23.712015999999995
4200	23.742799000000005
4250	23.760205999999997
4300	23.798813000000006
4350	23.84269000000001
4400	23.88092099999999
4450	23.87058300000001
4500	23.93592000000001
4550	23.940822000000008
4600	23.939372
4650	23.967241000000005
4700	24.006619999999984
4750	24.03588799999999
4800	24.063112
4850	24.098991000000005
4900	24.136086000000006
4950	24.171805999999997
5000	24.184265999999997
5050	24.173320999999998
5100	24.196407000000004
5150	24.22877499999999
5200	24.260047
5250	24.293941000000007
5300	24.306941
5350	24.337658000000005
5400	24.358932
5450	24.378974000000003
5500	24.379396999999997
5550	24.408127
5600	24.41818699999999
5650	24.446400999999994
5700	24.463032000000002
5750	24.470747999999993
5800	24.511699000000004
5850	24.518667999999998
5900	24.574844999999993
5950	24.58294299999999
6000	24.60448000000001
6050	24.641365
6100	24.67695900000001
6150	24.723072999999996
6200	24.757552999999994
6250	24.78973599999999
6300	24.81881200000001
6350	24.832902
6400	24.843048999999993
6450	24.869115999999998
6500	24.884986999999995
6550	24.898525999999997
6600	24.912844999999994
6650	24.91383299999999
6700	24.937208000000012
6750	24.963058000000004
6800	24.989325999999995
6850	25.009759999999996
6900	25.028733000000003
6950	25.074246999999993
7000	25.105176999999994
7050	25.123639999999988
7100	25.130179000000002
7150	25.149755
7200	25.179824999999997
7250	25.180158000000002
7300	25.168093
7350	25.182971999999985
7400	25.18730700000001
7450	25.218061000000002
7500	25.214127999999995
7550	25.235041999999993
7600	25.272091000000003
7650	25.29648300000001
7700	25.30886399999999
7750	25.332327000000006
7800	25.355249000000008
7850	25.370016
7900	25.402325000000015
7950	25.425417999999993
8000	25.439631
8050	25.439573000000006
8100	25.45785700000001
8150	25.468096999999997
8200	25.497332999999998
8250	25.47871299999999
8300	25.512373000000014
8350	25.526701000000006
8400	25.562300999999998
8450	25.579015000000012
8500	25.558249000000004
8550	25.555720999999995
8600	25.577104000000006
8650	25.591367
8700	25.599991999999997
8750	25.61562
8800	25.621515000000002
8850	25.618974999999995
8900	25.641128999999992
8950	25.631846999999997
9000	25.628881999999994
9050	25.652185
9100	25.679984
9150	25.696127999999998
9200	25.722476
9250	25.731827
9300	25.741767000000003
9350	25.759052
9400	25.770515000000003
9450	25.788747999999995
9500	25.804505
9550	25.832485000000005
9600	25.852946999999993
9650	25.871195000000007
9700	25.869103
9750	25.889512999999994
9800	25.905775000000002
9850	25.904649999999993
9900	25.924396000000005
9950	25.92159900000001
10000	25.937989000000012
10050	25.93692799999998
10100	25.950374
10150	25.96313799999999
10200	25.979476000000012
10250	25.98830299999999
10300	26.002577999999993
10350	26.011719000000003
10400	26.018019000000013
10450	26.024829999999998
10500	26.049182000000005
10550	26.056195000000013
10600	26.062155999999995
10650	26.06959499999999
10700	26.075076000000003
10750	26.084767000000003
10800	26.096876000000005
10850	26.098568999999987
10900	26.122971000000003
10950	26.130532000000006
11000	26.15013400000001
11050	26.173266999999992
11100	26.17166699999999
11150	26.180658999999995
11200	26.186175999999996
11250	26.195701
11300	26.199061
11350	26.219813
11400	26.252600000000008
11450	26.263378999999997
11500	26.266692000000003
11550	26.283907000000003
11600	26.301985
11650	26.311625
11700	26.306267000000002
11750	26.335445999999997
11800	26.336826999999982
11850	26.34330200000001
11900	26.360031
11950	26.370542000000018
12000	26.389673000000002
12050	26.402286999999998
12100	26.416360999999988
12150	26.425060999999996
12200	26.416275000000006
12250	26.432167000000007
12300	26.438042000000006
12350	26.453317
12400	26.45718799999999
12450	26.467834999999994
12500	26.475145000000012
12550	26.493527999999998
12600	26.512306
12650	26.526169999999997
12700	26.544487000000004
12750	26.55630200000002
12800	26.572644999999998
12850	26.562157
12900	26.565879999999996
12950	26.589661
13000	26.602830999999995
13050	26.610930000000003
13100	26.616827999999995
13150	26.636286
13200	26.6615
13250	26.672447000000012
13300	26.68665499999999
13350	26.702872
13400	26.726098
13450	26.743067000000014
13500	26.74897400000001
13550	26.753889000000004
13600	26.768127000000014
13650	26.785710999999996
13700	26.801045000000002
13750	26.807150000000007
13800	26.822471999999998
13850	26.84010700000001
13900	26.857153999999984
13950	26.869982
14000	26.881812999999994
14050	26.89318099999999
14100	26.893605000000008
14150	26.910267000000005
14200	26.906034
14250	26.922966000000006
14300	26.933280000000014
14350	26.945675999999995
14400	26.951598
14450	26.953655000000005
14500	26.95790199999999
14550	26.973402
14600	26.976390999999992
14650	26.974328999999994
14700	26.969595999999992
14750	26.968733999999998
14800	26.96726600000001
14850	26.984007999999996
14900	27.007459000000008
14950	27.013508000000005
15000	27.013702999999996
15050	27.023679
15100	27.020808000000002
15150	27.022335999999996
15200	27.031414000000005
15250	27.054727000000003
15300	27.052718
15350	27.062367999999996
15400	27.078521999999985
15450	27.083000999999996
15500	27.096297000000003
15550	27.109817000000007
15600	27.129193000000008
15650	27.127879000000004
15700	27.150299
15750	27.170555999999998
15800	27.188651000000004
15850	27.214769
15900	27.227598999999994
15950	27.230421
16000	27.231391
16050	27.239461000000023
16100	27.234441999999998
16150	27.252098
16200	27.26356800000001
16250	27.27926899999999
16300	27.278968000000006
16350	27.27841600000002
16400	27.292195999999993
16450	27.300204999999995
16500	27.315428
16550	27.328253999999998
16600	27.343530999999984
16650	27.340616000000008
16700	27.342083
16750	27.356663000000008
16800	27.35704600000002
16850	27.363661999999998
16900	27.381388999999977
16950	27.382011000000013
17000	27.391030999999998
17050	27.40453000000001
17100	27.42002300000001
17150	27.434415999999995
17200	27.436083000000004
17250	27.44100700000001
17300	27.456680999999993
17350	27.467078
17400	27.488802999999997
17450	27.483694000000003
17500	27.493658999999997
17550	27.509747000000008
17600	27.521984000000007
17650	27.537186999999996
17700	27.554083999999985
17750	27.55358500000001
17800	27.561396999999996
17850	27.566857999999993
17900	27.573148000000007
17950	27.57312999999999
18000	27.582271000000002
18050	27.584757000000003
18100	27.594317999999994
18150	27.609671000000002
18200	27.627229000000003
18250	27.627408999999997
18300	27.628121999999998
18350	27.629299999999994
18400	27.641548000000004
18450	27.651412
18500	27.66253
18550	27.665126999999988
18600	27.66466999999999
18650	27.660078999999996
18700	27.677566
18750	27.691695000000003
18800	27.691013
18850	27.689774000000007
18900	27.68049999999999
18950	27.666566000000003
19000	27.660367999999984
19050	27.67315899999999
19100	27.671115000000007
19150	27.68032299999999
19200	27.688443000000017
19250	27.698844999999995
19300	27.698982
19350	27.699350000000003
19400	27.704302000000006
19450	27.702890000000004
19500	27.705198
19550	27.711529000000006
19600	27.715333
19650	27.723174
19700	27.721479000000002
19750	27.737304000000005
19800	27.753676000000006
19850	27.762987000000006
19900	27.775133999999994
19950	27.779776000000002
20000	27.777119000000003
20050	27.766432999999985
20100	27.752366000000002
20150	27.752974000000005
20200	27.74882300000002
20250	27.755651999999987
20300	27.75926100000001
20350	27.775005000000025
20400	27.775058000000012
20450	27.774402999999985
20500	27.783034
20550	27.791420000000006
20600	27.803346000000012
20650	27.807154999999987
20700	27.809127000000004
20750	27.817900999999978
20800	27.832121
20850	27.839858000000007
20900	27.847564000000006
20950	27.866788999999997
21000	27.86890799999999
21050	27.87159299999999
21100	27.884053999999995
21150	27.89859
21200	27.89968099999999
21250	27.897175
21300	27.91235799999999
21350	27.907953000000006
21400	27.921989
21450	27.932541
21500	27.94483899999999
21550	27.954170999999995
21600	27.954661000000005
21650	27.96249299999999
21700	27.97338600000001
21750	27.97631399999999
21800	27.99059800000001
21850	27.990092999999998
21900	27.999069999999993
21950	28.015158
22000	28.03385400000001
22050	28.041434999999996
22100	28.028325999999996
22150	28.039371000000003
22200	28.046683
22250	28.051547999999993
22300	28.05534
22350	28.061184999999995
22400	28.070896999999995
22450	28.066798000000002
22500	28.078383000000002
22550	28.072819000000003
22600	28.08773399999999
22650	28.097488
22700	28.106234
22750	28.123125000000005
22800	28.127131999999992
22850	28.128259
22900	28.133145000000013
22950	28.136801999999985
23000	28.139537999999998
23050	28.14207899999999
23100	28.147327000000004
23150	28.143535000000014
23200	28.150099999999995
23250	28.151556
23300	28.156442000000002
23350	28.167115999999993
23400	28.174370999999994
23450	28.17814399999999
23500	28.18586800000001
23550	28.18795300000001
23600	28.19775
23650	28.20330600000001
23700	28.213286000000004
23750	28.213895000000008
23800	28.218720999999988
23850	28.221994999999993
23900	28.225479999999994
23950	28.225849000000004
24000	28.238659000000002
24050	28.241247
24100	28.24326799999999
24150	28.232728000000012
24200	28.242206999999993
24250	28.250516999999995
24300	28.256953999999997
24350	28.260698
24400	28.271483000000007
24450	28.273884999999996
24500	28.276374
24550	28.280076999999995
24600	28.289662000000018
24650	28.29820599999999
24700	28.30286900000001
24750	28.313242
24800	28.322478999999998
24850	28.334774000000007
24900	28.338440000000002
24950	28.346392
