t	s(t)
1000	109.36
1050	112.91
1100	116.02
1150	119.3
1200	122.29
1250	125.18
1300	127.74
1350	131.27
1400	134.37
1450	136.81
1500	139.52
1550	142.73
1600	145.4
1650	147.99
1700	150.5
1750	152.98
1800	155.77
1850	158.56
1900	161.14
1950	163.57
2000	166.08
2050	168.8
2100	170.93
2150	174.05
2200	176.45
2250	178.57
2300	181.27
2350	183.7
2400	186.39
2450	189.17
2500	191.28
2550	193.57
2600	195.6
2650	197.53
2700	199.93
2750	202.41
2800	204.63
2850	207.05
2900	209.14
2950	211.51
3000	213.31
3050	215.16
3100	216.93
3150	219.28
3200	221.15
3250	223.01
3300	224.92
3350	227.25
3400	229.22
3450	231.18
3500	233.6
3550	235.29
3600	237.43
3650	239.62
3700	241.58
3750	244.1
3800	246.01
3850	247.83
3900	249.68
3950	251.5
4000	253.27
4050	255.07
4100	257.1
4150	258.87
4200	260.88
4250	262.53
4300	264.43
4350	266.13
4400	267.89
4450	269.97
4500	271.77
4550	273.47
4600	275.56
4650	277.39
4700	278.94
4750	280.7
4800	282.54
4850	283.93
4900	286.01
4950	287.83
5000	289.69
5050	291.39
5100	293.51
5150	295.41
5200	297.02
5250	298.75
5300	300.29
5350	301.82
5400	303.55
5450	305.17
5500	306.78
5550	308.59
5600	310.5
5650	311.99
5700	313.52
5750	314.78
5800	316.6
5850	318.18
5900	319.63
5950	321.0
6000	322.77
6050	324.4
6100	326.2
6150	327.6
6200	329.09
6250	330.82
6300	332.24
6350	333.66
6400	334.97
6450	336.28
6500	337.75
6550	339.22
6600	341.06
6650	342.61
6700	344.36
6750	345.88
6800	347.47
6850	348.85
6900	350.31
6950	351.82
7000	353.42
7050	355.24
7100	356.69
7150	358.03
7200	359.64
7250	361.02
7300	362.68
7350	364.39
7400	365.95
7450	367.52
7500	368.87
7550	370.34
7600	371.88
7650	373.27
7700	374.78
7750	376.07
7800	377.39
7850	378.78
7900	380.23
7950	381.55
8000	382.75
8050	384.44
8100	385.93
8150	387.5
8200	389.16
8250	390.48
8300	391.9
8350	393.0
8400	394.3
8450	395.32
8500	396.75
8550	397.69
8600	399.02
8650	400.52
8700	402.23
8750	403.55
8800	405.11
8850	406.78
8900	408.5
8950	409.59
9000	410.75
9050	412.32
9100	413.68
9150	415.21
9200	416.72
9250	417.97
9300	419.29
9350	420.71
9400	422.28
9450	423.43
9500	424.69
9550	425.95
9600	427.35
9650	428.3
9700	429.84
9750	430.92
9800	431.98
9850	433.25
9900	434.56
9950	435.79
10000	437.2
10050	438.6
10100	439.57
10150	441.1
10200	442.47
10250	443.67
10300	444.91
10350	445.98
10400	447.35
10450	448.38
10500	449.85
10550	451.12
10600	452.86
10650	453.87
10700	455.06
10750	456.23
10800	457.47
10850	458.3
10900	459.61
10950	460.6
11000	461.7
11050	462.78
11100	464.07
11150	465.1
11200	466.15
11250	467.43
11300	468.81
11350	469.98
11400	471.45
11450	472.46
11500	473.68
11550	474.76
11600	476.0
11650	477.08
11700	478.23
11750	479.58
11800	480.81
11850	482.14
11900	483.21
11950	484.17
12000	485.24
12050	486.63
12100	487.75
12150	488.82
12200	490.13
12250	491.11
12300	492.44
12350	493.7
12400	494.67
12450	495.85
12500	496.94
12550	497.96
12600	499.23
12650	500.36
12700	501.62
12750	502.5
12800	503.57
12850	504.88
12900	506.15
12950	507.32
13000	508.52
13050	509.45
13100	510.34
13150	511.63
13200	512.67
13250	513.77
13300	514.73
13350	515.82
13400	516.94
13450	518.14
13500	519.37
13550	520.29
13600	521.41
13650	522.45
13700	523.42
13750	524.45
13800	525.81
13850	526.64
13900	527.65
13950	528.68
14000	529.88
14050	530.86
