t	s(t)
100	86.38
150	106.46
200	124.19
250	141.45
300	155.88
350	171.36
400	185.73
450	198.58
500	212.23
550	223.87
600	235.64
650	247.48
700	258.96
750	270.24
800	281.55
850	292.09
900	302.94
950	313.55
1000	323.92
1050	333.57
1100	343.2
1150	353.2
1200	363.02
1250	372.76
1300	381.37
1350	389.83
1400	398.81
1450	407.25
1500	416.06
1550	424.86
1600	432.86
1650	440.94
1700	449.47
1750	457.24
1800	465.6
1850	473.5
1900	482.01
1950	489.38
2000	497.22
2050	504.17
2100	511.78
2150	519.0
2200	526.6
2250	534.0
2300	541.2
2350	548.42
2400	555.76
2450	562.6
2500	569.09
2550	576.18
2600	582.93
2650	590.09
2700	596.89
2750	603.64
2800	610.31
2850	616.69
2900	622.98
2950	629.4
3000	635.84
3050	642.07
3100	648.52
3150	654.34
3200	660.68
3250	666.74
3300	673.41
3350	679.78
3400	686.3
3450	692.43
3500	698.81
3550	704.38
3600	709.85
3650	715.69
3700	721.58
3750	726.99
3800	732.87
3850	738.88
3900	744.5
3950	750.07
4000	755.63
4050	761.42
4100	767.1
4150	773.1
4200	779.1
4250	785.17
4300	790.6
4350	795.77
4400	800.75
4450	807.07
4500	813.19
4550	818.44
4600	823.81
4650	829.53
4700	835.43
4750	840.79
4800	845.63
4850	850.91
4900	856.52
4950	861.64
5000	866.73
5050	871.62
5100	876.48
5150	881.6
5200	886.93
5250	892.27
5300	897.39
5350	902.62
5400	907.78
5450	913.08
5500	917.82
5550	922.78
5600	928.19
5650	933.63
5700	938.76
5750	943.81
5800	948.45
5850	952.94
5900	957.68
5950	963.18
6000	968.36
6050	973.1
6100	977.52
6150	982.21
6200	986.69
6250	991.11
6300	995.56
6350	999.94
6400	1004.68
6450	1009.53
6500	1013.99
6550	1018.79
6600	1023.79
6650	1028.14
6700	1033.11
6750	1038.22
6800	1042.91
6850	1047.49
6900	1051.74
6950	1056.09
7000	1060.15
7050	1064.49
7100	1069.61
7150	1074.21
7200	1078.78
7250	1083.39
7300	1088.05
7350	1092.58
7400	1096.8
7450	1101.03
7500	1105.49
7550	1110.18
7600	1114.46
7650	1118.58
7700	1123.03
7750	1127.5
7800	1131.71
7850	1135.63
7900	1140.26
7950	1144.44
8000	1149.13
8050	1153.53
8100	1157.86
8150	1162.24
8200	1166.46
8250	1170.27
8300	1174.51
8350	1178.83
8400	1183.35
8450	1187.76
8500	1191.65
8550	1195.66
8600	1200.11
8650	1204.49
8700	1208.71
8750	1212.63
8800	1216.84
8850	1221.02
8900	1225.73
8950	1229.75
9000	1233.65
9050	1237.67
9100	1241.74
9150	1245.5
9200	1249.48
9250	1253.53
9300	1257.5
9350	1261.53
9400	1265.16
9450	1269.48
9500	1273.57
9550	1277.26
9600	1281.32
9650	1285.03
9700	1289.35
9750	1293.36
9800	1297.41
9850	1301.78
9900	1305.62
9950	1309.47
10000	1313.83
10050	1317.66
10100	1321.81
10150	1325.92
10200	1329.89
10250	1333.41
10300	1337.2
10350	1341.16
10400	1344.83
10450	1348.25
10500	1352.04
10550	1355.34
10600	1359.37
10650	1363.1
10700	1367.15
10750	1370.81
10800	1374.76
10850	1378.62
10900	1382.18
10950	1386.0
11000	1390.03
11050	1394.11
11100	1397.86
11150	1401.55
11200	1405.24
11250	1409.26
11300	1413.15
11350	1417.0
11400	1420.82
11450	1424.39
11500	1427.96
11550	1431.32
11600	1435.39
11650	1439.23
11700	1442.98
11750	1446.13
11800	1449.77
11850	1453.36
11900	1456.86
11950	1460.85
12000	1464.44
12050	1468.06
12100	1471.98
12150	1475.52
12200	1479.22
12250	1483.42
12300	1487.19
12350	1490.81
12400	1494.87
12450	1498.33
12500	1502.17
12550	1506.18
12600	1509.96
12650	1513.81
12700	1517.29
12750	1520.89
12800	1524.34
12850	1527.69
12900	1531.59
12950	1535.37
13000	1539.04
13050	1542.86
13100	1546.78
13150	1550.36
