t	s(t)
20200	7060.06
20250	7070.33
20300	7080.61
20350	7091.4
20400	7102.32
20450	7112.63
20500	7122.91
20550	7133.17
20600	7143.73
20650	7153.92
20700	7163.87
20750	7173.07
20800	7182.92
20850	7192.94
20900	7203.27
20950	7212.93
21000	7222.92
21050	7232.99
21100	7242.67
21150	7253.64
21200	7263.95
21250	7274.16
21300	7283.76
21350	7293.4
21400	7302.91
21450	7312.99
21500	7322.91
21550	7332.4
21600	7342.31
21650	7353.43
21700	7362.98
21750	7373.46
21800	7383.26
21850	7393.16
21900	7403.4
21950	7414.01
22000	7424.12
22050	7434.72
22100	7445.02
22150	7454.5
22200	7464.27
22250	7474.5
22300	7484.33
22350	7494.23
22400	7504.18
22450	7514.66
22500	7524.99
22550	7535.19
22600	7545.26
22650	7555.81
22700	7565.55
22750	7574.91
22800	7584.41
22850	7594.18
22900	7604.18
22950	7613.8
23000	7623.56
23050	7633.43
23100	7643.82
23150	7653.95
23200	7664.22
23250	7674.04
23300	7684.39
23350	7694.26
23400	7704.57
23450	7714.79
23500	7724.67
23550	7734.61
23600	7744.35
23650	7753.61
23700	7763.28
23750	7772.91
23800	7782.37
23850	7792.18
23900	7802.6
23950	7813.0
24000	7822.44
24050	7832.23
24100	7841.36
24150	7851.05
24200	7861.1
24250	7870.95
24300	7879.79
24350	7889.32
24400	7898.45
24450	7908.42
24500	7918.62
24550	7928.57
24600	7938.29
24650	7948.15
24700	7957.94
24750	7967.2
24800	7976.8
24850	7986.29
24900	7995.29
24950	8004.81
