t	s(t)
50	97.81
100	130.33
150	159.95
200	186.81
250	210.66
300	232.5
350	253.18
400	273.67
450	293.74
500	312.14
550	330.18
600	347.72
650	365.31
700	381.68
750	396.8
800	412.63
850	427.75
900	442.86
950	457.12
1000	470.61
1050	484.6
1100	498.58
1150	512.16
1200	525.18
1250	537.8
1300	551.4
1350	564.1
1400	576.67
1450	588.61
1500	600.67
1550	612.63
1600	624.3
1650	635.87
1700	646.6
1750	658.26
1800	669.37
1850	680.53
1900	691.09
1950	702.41
2000	712.22
2050	722.71
2100	733.03
2150	743.31
2200	753.04
2250	762.77
2300	773.43
2350	783.05
2400	792.75
2450	802.48
2500	812.23
2550	822.39
2600	832.84
2650	842.56
2700	852.03
2750	861.8
2800	870.35
2850	879.54
2900	889.06
2950	898.61
3000	907.97
3050	916.48
3100	925.32
3150	934.05
3200	942.79
3250	951.94
3300	961.0
3350	969.82
3400	978.47
3450	987.21
3500	995.67
3550	1004.18
3600	1012.63
3650	1020.85
3700	1029.73
3750	1038.65
3800	1047.45
3850	1055.54
3900	1063.6
3950	1072.01
4000	1079.94
4050	1088.49
4100	1096.39
4150	1105.48
4200	1113.09
4250	1120.22
4300	1127.36
4350	1136.07
4400	1143.87
4450	1151.57
4500	1159.5
4550	1166.7
4600	1174.68
4650	1182.54
4700	1190.42
4750	1197.88
4800	1205.12
4850	1212.84
4900	1219.76
4950	1226.55
5000	1234.17
5050	1241.93
5100	1249.72
5150	1257.03
5200	1264.16
5250	1271.17
5300	1278.76
5350	1286.08
5400	1293.29
5450	1301.08
5500	1308.53
5550	1315.41
5600	1323.19
5650	1330.08
5700	1336.52
5750	1343.38
5800	1350.6
5850	1357.47
5900	1364.11
5950	1370.56
6000	1377.23
6050	1384.05
6100	1390.86
6150	1398.09
6200	1405.48
6250	1412.75
6300	1419.71
6350	1426.02
6400	1432.7
6450	1439.22
6500	1445.76
6550	1452.17
6600	1459.02
6650	1464.92
6700	1470.77
6750	1477.54
6800	1484.1
6850	1490.63
6900	1497.22
6950	1504.11
7000	1510.93
7050	1516.89
7100	1523.07
7150	1529.4
7200	1535.46
7250	1541.52
7300	1548.02
7350	1554.83
7400	1561.0
7450	1567.59
7500	1573.58
7550	1579.95
7600	1585.97
7650	1591.44
7700	1598.12
7750	1604.25
7800	1611.04
7850	1616.88
7900	1622.93
7950	1629.02
8000	1634.97
8050	1641.06
8100	1647.24
8150	1653.14
8200	1659.35
8250	1664.82
8300	1670.82
8350	1676.37
8400	1682.5
8450	1688.06
8500	1694.48
8550	1699.77
8600	1705.73
8650	1711.58
8700	1717.23
8750	1722.79
8800	1728.82
8850	1734.88
8900	1740.54
8950	1747.06
9000	1752.88
9050	1758.28
9100	1764.17
9150	1770.19
9200	1776.05
9250	1781.87
9300	1787.28
9350	1792.91
9400	1799.0
9450	1804.32
9500	1809.93
9550	1815.54
9600	1821.47
9650	1827.18
9700	1832.5
9750	1837.84
9800	1843.28
9850	1848.79
9900	1854.93
9950	1860.63
10000	1866.31
10050	1871.84
10100	1877.46
10150	1883.32
10200	1888.91
10250	1894.54
10300	1900.07
10350	1905.83
