t	a(t)
50	11.267259999999998
100	11.864425999999996
150	12.321924000000001
200	12.765592000000002
250	13.23182
300	13.545600000000002
350	13.830288000000001
400	13.958748
450	13.995831999999998
500	14.151904
550	14.035341999999998
600	14.148686000000003
650	14.364524
700	14.514074
750	14.535374
800	14.724773999999998
850	14.908614
900	15.040882000000002
950	15.20545
1000	15.228215999999998
1050	15.267863999999998
1100	15.388246000000004
1150	15.597452
1200	15.643363999999998
1250	15.722226
1300	15.860487999999998
1350	15.965404
1400	16.121966
1450	16.053109999999997
1500	16.05262
1550	16.08185
1600	16.050113999999997
1650	16.099966000000002
1700	16.093462000000002
1750	16.139568
1800	16.130315999999997
1850	16.106443999999996
1900	16.167170000000002
1950	16.128690000000002
2000	16.086392
2050	16.061734
2100	16.086599999999997
2150	16.171238000000002
2200	16.256980000000002
2250	16.263761999999996
2300	16.335123999999997
2350	16.273526
2400	16.390894
2450	16.341567999999995
2500	16.368570000000002
2550	16.381966000000002
2600	16.426886000000003
2650	16.442262000000007
2700	16.477790000000002
2750	16.522258
2800	16.536996
2850	16.535847999999998
2900	16.46187
2950	16.463741999999996
3000	16.473452
3050	16.473038000000003
3100	16.511449999999996
3150	16.565227999999998
3200	16.566660000000002
3250	16.649054
3300	16.565002
3350	16.601802000000006
3400	16.657554
3450	16.700174
3500	16.7423
3550	16.714384
3600	16.745493999999994
3650	16.750743999999994
3700	16.823971999999998
3750	16.871082
3800	16.898503999999996
3850	16.928424000000003
3900	16.976268
3950	16.983554000000005
4000	16.987294000000002
4050	17.026584
4100	16.970978
4150	16.989120000000003
4200	16.999576
4250	17.023598
4300	17.054576
4350	17.106852000000003
4400	17.154297999999997
4450	17.204002
4500	17.243243999999994
4550	17.264066
4600	17.245193999999994
4650	17.217674
4700	17.208222
4750	17.217276000000002
4800	17.2952
4850	17.340723999999998
4900	17.390242000000004
4950	17.439130000000006
5000	17.505542
5050	17.516485999999997
5100	17.5256
5150	17.562396
5200	17.526324000000002
5250	17.598808
5300	17.607603999999995
5350	17.607772
5400	17.573557999999995
5450	17.629431999999998
5500	17.684177999999996
5550	17.728596
5600	17.757013999999998
5650	17.789960000000004
5700	17.840605999999994
5750	17.883533999999994
5800	17.910535999999997
5850	17.934030000000003
5900	17.912997999999998
5950	17.974018000000004
6000	18.006525999999997
6050	17.989720000000002
6100	18.013102
6150	18.035052
6200	18.051958
6250	18.090716
6300	18.104329999999994
6350	18.111918
6400	18.170794000000004
6450	18.206012
6500	18.202702000000002
6550	18.235632
6600	18.249643999999996
6650	18.259005999999996
6700	18.266906000000002
6750	18.29875600000001
6800	18.305252000000007
6850	18.336928000000004
6900	18.37307600000001
6950	18.391134000000005
7000	18.398608000000003
7050	18.443997999999993
7100	18.418006000000002
7150	18.452924
7200	18.470838
7250	18.50311
7300	18.477915999999997
7350	18.536714
7400	18.551864000000002
7450	18.573776000000006
7500	18.593210000000003
7550	18.540965999999997
7600	18.546404
7650	18.60477
7700	18.582155999999998
7750	18.555222
7800	18.591046000000002
7850	18.612328
7900	18.614400000000003
7950	18.632946
8000	18.632664000000005
8050	18.627017999999996
8100	18.637433999999995
8150	18.632202000000003
8200	18.680768
8250	18.704022000000002
8300	18.666134
8350	18.696759999999994
8400	18.73096
8450	18.761950000000002
8500	18.792666000000004
8550	18.774137999999997
8600	18.758530000000004
8650	18.785668000000005
8700	18.775419999999993
8750	18.801711999999995
8800	18.787422000000003
8850	18.809494
8900	18.803145999999995
8950	18.821763999999998
9000	18.850806000000006
9050	18.837364
9100	18.874563999999996
9150	18.891126
9200	18.862337999999998
9250	18.798739999999995
9300	18.810057999999998
9350	18.832224
9400	18.86113200000001
9450	18.898764
9500	18.911632
9550	18.930082000000006
9600	18.938357999999997
9650	18.973852000000004
9700	18.994922000000003
9750	19.025468000000004
9800	18.955088
9850	18.883081999999995
9900	18.900582
9950	18.895937999999997
10000	18.795580000000005
10050	18.79754
10100	18.803134
10150	18.788714
10200	18.813802
10250	18.828646000000003
10300	18.866658000000005
10350	18.895214000000006
10400	18.940704
10450	18.970466000000002
10500	18.966112000000003
10550	18.980528000000003
10600	18.992041999999998
10650	19.008743999999997
10700	18.988226
10750	18.968024
10800	19.003880000000006
10850	19.025028
10900	19.049346
10950	19.07140799999999
11000	19.056969999999996
11050	19.035848
11100	19.034714000000005
11150	19.058276000000003
11200	19.087162
11250	19.006055999999997
11300	19.019062
11350	19.003474
11400	19.008026
11450	19.034296
11500	19.036052
11550	19.00868
11600	18.972296000000007
11650	18.980888000000004
11700	19.016318000000002
11750	19.026626
11800	19.035432
11850	18.99998
11900	19.03725
11950	18.970991999999995
12000	18.997968000000004
12050	19.0303
12100	19.04512
12150	19.069222000000003
12200	19.092008000000003
12250	19.116938
12300	19.152488000000005
12350	19.162942
12400	19.12681
12450	19.138277999999996
12500	19.157545999999996
12550	19.164552
12600	19.166573999999997
12650	19.130048000000002
12700	19.157136
12750	19.153167999999997
12800	19.177156000000004
12850	19.20141
12900	19.184496
12950	19.176644000000003
13000	19.21892
13050	19.205703999999997
13100	19.216742
13150	19.240198000000003
13200	19.245946000000007
13250	19.244276000000006
13300	19.224570000000003
13350	19.239665999999996
13400	19.241895999999997
13450	19.242134
13500	19.258036
13550	19.277914
13600	19.282917999999995
13650	19.291111999999995
13700	19.304039999999997
13750	19.284173999999997
13800	19.303341999999997
13850	19.264916
13900	19.236078
13950	19.251887999999997
14000	19.250153999999995
14050	19.266864
14100	19.260396000000004
14150	19.254268
14200	19.24931
14250	19.271932000000003
14300	19.293316000000004
14350	19.310508000000006
14400	19.333206
14450	19.321147999999997
14500	19.335241999999997
14550	19.354095999999995
14600	19.346666
14650	19.377752000000005
14700	19.387962000000005
14750	19.381442000000003
14800	19.379726
14850	19.382189999999994
14900	19.393235999999998
14950	19.39634
15000	19.396291999999995
15050	19.41982
15100	19.427086000000003
15150	19.444946
15200	19.439975999999998
15250	19.455342
15300	19.467882000000003
15350	19.439087999999998
15400	19.447822000000002
15450	19.472447999999996
15500	19.487996
15550	19.500192
15600	19.524218
15650	19.532894000000002
15700	19.543988
15750	19.552774000000003
15800	19.555172
15850	19.571018000000002
15900	19.58361
15950	19.601340000000004
16000	19.613432000000003
16050	19.562811999999997
16100	19.521592
16150	19.52691
16200	19.553478
16250	19.57716
16300	19.579427999999997
16350	19.588013999999994
16400	19.575115999999994
16450	19.589921999999994
16500	19.618657999999996
16550	19.635939999999994
16600	19.659143999999994
16650	19.663488
16700	19.676208000000003
16750	19.677279999999996
16800	19.683138
16850	19.707734
16900	19.718315999999998
16950	19.735454
17000	19.750208
17050	19.768573999999997
17100	19.777879999999996
17150	19.800957999999994
17200	19.82194
17250	19.826264
17300	19.834563999999997
17350	19.869498
17400	19.887497999999997
17450	19.898247999999995
17500	19.897268
17550	19.834952000000005
17600	19.764456000000003
17650	19.769084
17700	19.786099999999998
17750	19.8032
17800	19.807028
17850	19.82224
17900	19.802692
17950	19.819728
18000	19.832213999999993
18050	19.843541999999992
18100	19.860394000000003
18150	19.880162000000002
18200	19.895908000000006
18250	19.918456000000003
18300	19.935872000000003
18350	19.934431999999997
18400	19.941112000000004
18450	19.919924
18500	19.934576000000003
18550	19.955906000000006
18600	19.972262000000004
18650	19.978623999999996
18700	19.997758000000005
18750	20.020674
18800	20.011844000000004
18850	20.027728000000003
18900	20.052716000000007
18950	20.058152000000003
19000	20.063792
19050	20.084998000000002
19100	20.066688000000003
19150	20.051810000000003
19200	20.057982000000003
19250	20.069883999999995
19300	20.078709999999994
19350	20.082971999999998
19400	20.067348000000003
19450	20.056776000000003
19500	20.048028000000002
19550	20.063488
19600	20.062917999999996
19650	20.074531999999998
19700	20.093676000000002
19750	20.106567999999996
19800	20.105313999999996
19850	20.128444
19900	20.130426000000003
19950	20.108022000000002
20000	20.115478000000003
20050	20.101866
20100	20.12678
20150	20.137906000000008
20200	20.126656000000004
20250	20.13968
20300	20.150589999999998
20350	20.167794
20400	20.173208000000002
20450	20.180625999999997
20500	20.192179999999997
20550	20.207364
20600	20.201416
20650	20.20524
20700	20.218990000000005
20750	20.223699999999997
20800	20.241626
20850	20.216030000000003
20900	20.159155999999992
20950	20.168624000000005
21000	20.188300000000005
21050	20.187902000000005
21100	20.175344000000003
21150	20.192008
21200	20.201438
21250	20.1929
21300	20.148760000000003
21350	20.15844
21400	20.157269999999993
21450	20.152261999999993
21500	20.16585199999999
21550	20.173794
21600	20.165764000000003
21650	20.174324
21700	20.168461999999998
21750	20.180019999999992
21800	20.198131999999998
21850	20.211571999999993
21900	20.215215999999998
21950	20.214609999999997
22000	20.199241999999998
22050	20.215494
22100	20.220249999999997
22150	20.233040000000006
22200	20.233136000000005
22250	20.252672000000004
22300	20.210105999999996
22350	20.20012
22400	20.178409999999996
22450	20.188185999999995
22500	20.19445
22550	20.179976
22600	20.166880000000003
22650	20.174702000000003
22700	20.180962
22750	20.19202
22800	20.185625999999996
22850	20.197940000000003
22900	20.201990000000002
22950	20.208358
23000	20.228663999999995
23050	20.247693999999996
23100	20.25269
23150	20.265846
23200	20.27658
23250	20.260990000000003
23300	20.259746
23350	20.261616000000004
23400	20.278067999999998
23450	20.269053999999997
23500	20.285912
23550	20.292468
23600	20.282696
23650	20.287251999999995
23700	20.289564
23750	20.27971
