t	b(t)
50	2.329717821782178
100	2.094906930693069
150	1.9649851485148515
200	1.8359574257425737
250	1.7653524752475245
300	1.731764356435644
350	1.6771386138613853
400	1.6239584158415838
450	1.6023722772277236
500	1.5194950495049502
550	1.4895821782178216
600	1.4384821782178216
650	1.3924396039603961
700	1.3489584158415844
750	1.3261178217821787
800	1.3049198019801977
850	1.2857801980198023
900	1.2673772277227726
950	1.2484247524752472
1000	1.2175425742574253
1050	1.195089108910891
1100	1.196770297029703
1150	1.1812930693069306
1200	1.1594594059405947
1250	1.130374257425743
1300	1.103961386138614
1350	1.0996108910891085
1400	1.0899435643564352
1450	1.069827722772278
1500	1.0659970297029704
1550	1.0467990099009903
1600	1.0325940594059408
1650	1.0250039603960395
1700	1.0147287128712876
1750	1.0099980198019802
1800	1.0026732673267325
1850	0.9902712871287128
1900	0.9887306930693068
1950	0.9793108910891088
2000	0.977326732673267
2050	0.9735326732673271
2100	0.9618603960396042
2150	0.948959405940594
2200	0.9408059405940596
2250	0.9343693069306935
2300	0.9240425742574259
2350	0.91919504950495
2400	0.9132019801980201
2450	0.9036762376237626
2500	0.8991138613861389
2550	0.8934772277227724
2600	0.878316831683168
2650	0.8758108910891088
2700	0.8687019801980197
2750	0.8646386138613861
2800	0.8618772277227729
2850	0.8530356435643561
2900	0.8454316831683165
2950	0.8395297029702974
3000	0.830246534653465
3050	0.8266772277227725
3100	0.8213425742574257
3150	0.8174455445544556
3200	0.8136584158415845
3250	0.8068049504950497
3300	0.8042722772277224
3350	0.7932950495049508
3400	0.7905712871287125
3450	0.7846514851485148
3500	0.7841960396039608
3550	0.7807534653465347
3600	0.778181188118812
3650	0.7772653465346536
3700	0.7716227722772274
3750	0.7642554455445548
3800	0.7571841584158414
3850	0.7550841584158416
3900	0.7526742574257425
3950	0.7476158415841582
4000	0.7450356435643563
4050	0.7357871287128713
4100	0.7333574257425745
4150	0.7298653465346534
4200	0.7270376237623762
4250	0.7281336633663368
4300	0.7265217821782177
4350	0.7243326732673271
4400	0.7220000000000001
4450	0.7183217821782178
4500	0.7145089108910895
4550	0.7095782178217824
4600	0.7077158415841587
4650	0.7028584158415843
4700	0.7015811881188121
4750	0.6999495049504952
4800	0.6928564356435641
4850	0.6907000000000001
4900	0.6822277227722771
4950	0.67819900990099
5000	0.6769158415841585
5050	0.674461386138614
5100	0.6701158415841585
5150	0.6647485148514853
5200	0.6626306930693071
5250	0.661418811881188
5300	0.6606801980198018
5350	0.6615930693069307
5400	0.6612118811881192
5450	0.6609118811881188
5500	0.6601891089108911
5550	0.654337623762376
5600	0.6494782178217824
5650	0.6487940594059405
5700	0.6485069306930692
5750	0.6468386138613865
5800	0.6441069306930693
5850	0.6439376237623763
5900	0.6442128712871287
5950	0.6426673267326731
6000	0.6413742574257427
6050	0.6362732673267325
6100	0.6340950495049508
6150	0.6307910891089108
6200	0.6269475247524753
6250	0.6262663366336634
6300	0.6249722772277229
6350	0.6207376237623761
6400	0.6182881188118813
6450	0.6165891089108915
6500	0.6142821782178216
6550	0.6105435643564359
6600	0.6098
6650	0.6101217821782179
6700	0.6075722772277228
6750	0.6086039603960395
6800	0.6088336633663365
6850	0.6070128712871288
6900	0.6063009900990097
6950	0.6048920792079211
7000	0.6015623762376238
7050	0.6019841584158415
7100	0.6021049504950495
7150	0.5999
7200	0.5992
7250	0.5949455445544554
7300	0.5958524752475249
7350	0.5957039603960397
7400	0.5944148514851486
7450	0.5932019801980195
7500	0.5922970297029704
7550	0.5931336633663369
7600	0.5904425742574256
7650	0.5903059405940593
7700	0.5880603960396042
7750	0.5867158415841586
7800	0.5856435643564357
7850	0.5838435643564358
7900	0.5831376237623761
7950	0.5832742574257423
8000	0.5831099009900992
8050	0.5831039603960395
8100	0.580679207920792
8150	0.5806188118811881
8200	0.5807554455445548
8250	0.576638613861386
8300	0.5766069306930696
8350	0.5764019801980198
8400	0.5753742574257428
8450	0.5740752475247526
8500	0.5737534653465345
8550	0.5724336633663366
8600	0.567228712871287
8650	0.567188118811881
8700	0.5670772277227718
8750	0.5663465346534652
8800	0.5661564356435644
8850	0.5631653465346534
8900	0.5610851485148515
8950	0.5603029702970296
9000	0.5574693069306933
9050	0.5560732673267328
9100	0.5530574257425741
9150	0.5501594059405944
9200	0.5500554455445547
9250	0.5476366336633663
9300	0.547170297029703
9350	0.5470594059405941
9400	0.5455019801980198
9450	0.5440138613861385
9500	0.5442752475247523
9550	0.5439396039603959
9600	0.5435623762376236
9650	0.542271287128713
9700	0.5422009900990097
9750	0.5396009900990097
9800	0.5379742574257423
9850	0.5377594059405939
9900	0.5366574257425741
9950	0.5354267326732671
