t	b(t)
100	2.9635209999999996
150	2.839637
200	2.680263
250	2.624517
300	2.5369639999999993
350	2.4419999999999997
400	2.3370179999999996
450	2.3048599999999997
500	2.1821569999999992
550	2.1765449999999995
600	2.105983
650	2.069319
700	2.0216039999999995
750	2.0193070000000004
800	2.0042079999999998
850	1.960826
900	1.9252239999999998
950	1.8837000000000004
1000	1.8419789999999994
1050	1.8171089999999999
1100	1.8148970000000009
1150	1.8062029999999996
1200	1.7707660000000005
1250	1.7402519999999995
1300	1.6842069999999998
1350	1.6700260000000007
1400	1.6549460000000003
1450	1.6067449999999999
1500	1.5900120000000004
1550	1.569424
1600	1.5663969999999994
1650	1.549262999999999
1700	1.539611000000001
1750	1.5333489999999999
1800	1.4960890000000004
1850	1.488414
1900	1.4692200000000002
1950	1.4450439999999996
2000	1.4504080000000001
2050	1.4385469999999991
2100	1.433637
2150	1.4316129999999998
2200	1.4338989999999994
2250	1.4220340000000005
2300	1.4226859999999995
2350	1.422215
2400	1.4099910000000002
2450	1.3974939999999998
2500	1.390627
2550	1.3857680000000006
2600	1.3844339999999997
2650	1.366371
2700	1.356056000000001
2750	1.3514229999999992
2800	1.3437299999999994
2850	1.3403420000000006
2900	1.3303660000000002
2950	1.3270380000000006
3000	1.3239179999999997
3050	1.3094230000000002
3100	1.3121749999999996
3150	1.3159440000000004
3200	1.308246
3250	1.2966829999999998
3300	1.2868549999999999
3350	1.280563
3400	1.2736599999999996
3450	1.2730599999999999
3500	1.2620810000000002
3550	1.2504370000000007
3600	1.245069
3650	1.2340250000000001
3700	1.2260850000000003
3750	1.2194489999999993
3800	1.216103
3850	1.207064
3900	1.2023670000000002
3950	1.1805350000000001
4000	1.1767020000000004
4050	1.1656480000000002
4100	1.1598620000000002
4150	1.1501810000000001
4200	1.1384659999999998
4250	1.138063
4300	1.1261020000000002
4350	1.127005
4400	1.1233019999999998
4450	1.119212
4500	1.116527
4550	1.113499
4600	1.1148049999999998
4650	1.1157380000000001
4700	1.1122589999999999
4750	1.1069619999999996
4800	1.1015960000000005
4850	1.0893159999999997
4900	1.0870289999999998
4950	1.086559
5000	1.071091
5050	1.0689730000000004
5100	1.0660949999999998
5150	1.0631129999999998
5200	1.0566270000000002
5250	1.0525400000000003
5300	1.050215
5350	1.0470649999999997
5400	1.0464250000000004
5450	1.0406530000000003
5500	1.0362500000000001
5550	1.0354949999999996
5600	1.03016
5650	1.0296059999999998
5700	1.0257390000000002
5750	1.01466
5800	1.0152430000000003
5850	1.015377
5900	1.0138179999999997
5950	1.0104769999999998
6000	1.0082389999999999
6050	1.0117699999999994
6100	1.0070950000000003
6150	1.004003
6200	1.0001860000000002
6250	1.000745
6300	1.0000780000000002
6350	0.9982199999999999
6400	0.9950739999999998
6450	0.9910239999999998
6500	0.9919939999999998
6550	0.9885070000000001
6600	0.9878189999999996
6650	0.9740999999999999
6700	0.9734030000000001
6750	0.9732720000000004
6800	0.9734999999999999
6850	0.9699119999999993
6900	0.9684889999999998
6950	0.9602299999999994
7000	0.959025
7050	0.9596899999999999
7100	0.9518050000000002
7150	0.953325
7200	0.953957
7250	0.952852
7300	0.9472219999999999
7350	0.9414460000000002
7400	0.941291
7450	0.9401189999999998
7500	0.9374870000000002
7550	0.9388449999999997
7600	0.9359950000000002
7650	0.9322769999999998
7700	0.9293630000000003
7750	0.9237069999999997
7800	0.9212059999999995
7850	0.9217739999999996
7900	0.9169199999999997
7950	0.9159930000000002
8000	0.9156750000000002
8050	0.909719
8100	0.9084079999999994
8150	0.9076690000000001
8200	0.9027470000000001
8250	0.9012250000000003
8300	0.8966839999999999
8350	0.8973180000000002
8400	0.8928529999999999
8450	0.8940020000000001
8500	0.8928500000000003
8550	0.8900859999999998
8600	0.8888140000000003
8650	0.887634
8700	0.8888040000000003
8750	0.8883090000000001
8800	0.886637
8850	0.885767
8900	0.8838339999999999
8950	0.8796200000000003
9000	0.8724310000000002
9050	0.870501
9100	0.8702159999999998
9150	0.8709160000000001
9200	0.8684299999999997
9250	0.8655820000000003
9300	0.8672030000000004
9350	0.8642150000000002
9400	0.8636090000000002
9450	0.8628830000000005
9500	0.8638079999999999
9550	0.862092
9600	0.8566439999999996
9650	0.8560029999999997
9700	0.8522459999999995
9750	0.8458259999999999
9800	0.8471750000000001
9850	0.8456970000000003
9900	0.8446280000000003
9950	0.8454659999999998
10000	0.8453089999999998
10050	0.8442550000000003
10100	0.8381200000000003
10150	0.8390090000000003
10200	0.8379260000000004
10250	0.836708
10300	0.836584
10350	0.8344360000000003
10400	0.8343769999999995
10450	0.8330669999999998
10500	0.8321299999999997
10550	0.8247969999999999
10600	0.8166390000000001
10650	0.8166529999999999
10700	0.81683
10750	0.8136759999999995
10800	0.8113630000000001
10850	0.8100780000000001
10900	0.808473
